日付,売り上げ,客数,客単価,気温,天気
2021-02-01,360547,127,2839,15,曇
2021-02-02,307686,102,3017,16,曇
2021-02-03,581181,171,3399,19,晴
2021-02-04,551938,167,3305,21,晴
2021-02-05,573605,117,4903,24,曇
2021-02-06,458212,173,2649,19,晴
2021-02-07,400408,126,3178,24,晴
2021-02-08,578027,171,3380,22,雨
2021-02-09,306488,121,2533,19,曇
2021-02-10,595903,158,3772,15,雨
2021-02-11,476045,172,2768,19,雨
2021-02-12,402068,176,2284,21,晴
2021-02-13,501486,167,3003,23,曇
2021-02-14,511853,159,3219,24,雨
2021-02-15,422749,102,4145,21,曇
2021-02-16,505571,158,3200,21,晴
2021-02-17,540856,139,3891,24,曇
2021-02-18,514593,173,2975,23,曇
2021-02-19,479182,103,4652,21,雨
2021-02-20,365749,185,1977,22,雨
2021-02-21,382602,157,2437,22,晴
2021-02-22,526799,100,5268,21,曇
2021-02-23,413624,122,3390,19,雨
2021-02-24,414459,196,2115,17,晴
2021-02-25,565849,186,3042,16,雨
2021-02-26,429201,180,2384,15,晴
2021-02-27,430954,109,3954,20,曇
2021-02-28,367642,144,2553,19,晴
