日付,気温,天気
2021-01-01,22,曇
2021-01-02,20,晴
2021-01-03,23,雨
2021-01-04,23,曇
2021-01-05,18,雨
2021-01-06,15,晴
2021-01-07,15,曇
2021-01-08,22,晴
2021-01-09,17,晴
2021-01-10,18,晴
2021-01-11,19,晴
2021-01-12,23,雨
2021-01-13,18,雨
2021-01-14,21,晴
2021-01-15,16,曇
2021-01-16,16,曇
2021-01-17,16,雨
2021-01-18,22,雨
2021-01-19,23,晴
2021-01-20,15,雨
2021-01-21,17,晴
2021-01-22,15,晴
2021-01-23,15,曇
2021-01-24,20,雨
2021-01-25,24,雨
2021-01-26,24,雨
2021-01-27,23,晴
2021-01-28,21,雨
2021-01-29,19,晴
2021-01-30,15,晴
2021-01-31,23,曇
